Codigo,Nombre,CodigoEstado
1002592-25-SE25,CDP 100 SERVICIO CONTROL DE ACCESO NIVEL CENTRAL,12
1002772-5575-SE26,"PORTA OBJETO FRANJA ESMERILADA 26 X 76 MM ID:1002772-77-LQ25 (LC,APA,2204005002,CBO) ",6
1002772-5740-AG26,"ALICATE CORTE DISTAL CON SEGURIDAD a compra ágil: 1002772-1116-COT26 (AG,ODONTOLOGIA,2204004005,CMG)",12
1002772-5876-AG26,"CANULA TRAQUEOSTOMIA N° 9 MM CON BALON Y ENDOCANULA (2-20) ID:1002772-1082-COT26 (AG,PEDIA,2204005003,MTM)",6
1002772-6048-SE26,"INTRODUCTOR DE TET MALEABLE TIPO GUM ELASTIC BOUGIE (VIA AEREA DIFICIL) ADULTO(1-15) ID: 1002772-147-LR25 (LC,EMERADUL,2204005003,MTM)",12
1002772-6097-AG26,"CIRCUITO DESECHABLE DOBLE RAMA CALEFACCIONADA CON CONEXIÓN EN Y PARA VENTILADOR MECÁNICO CONVENCIONAL/VAFO MARCA DRAGER MODELO VN500 ID:1002772-1273-COT26 (AG,NEONA,2204005003,MTM)",12
1002772-6112-SE26,"CLAVO RETROGRADO,TORNILLOS CANULADOS LIC 1002772-35-LR25 (LC,PABELLON,2204004004,CMG)	",12
1002772-6118-SE26,"LAMINA DE CONTACTO, TRANSPARENTE, POROSA, CON SILICONA, MEDIDAS 5 X 7.5 CMS APROX (CUIDADOS DE LA PIE, CAAE, NEO),ID: 1002772-88-LR25 (LC,TRAUMATOLOGIA ,2204004003,APG)",12
1002772-6120-SE26,"CLAVO RETROGRADO,TORNILLOS CANULADOS LIC 1002772-35-LR25 (LC,PABELLON,2204004004,CMG)",12
1002772-6146-AG26,"AGUJA CORTA Y  LARGA CARPULE a compra ágil: 1002772-1305-COT26 (AG,ODONTOLOGIA,2204004005,CMG)",12
1002772-6176-SE26,"INSUMOS CIRUGIA DE CADERA Y PROTESIS EN DISPLASIA LIC 1002772-72-LR24 (LC,PABELLON,2204004004,CMG)",12
1002772-6313-SE26,"GASES ARTERIALES ABRIL 2026 ID: 1288-40-LR24 (LC,LABORATORIO,2204005002,RRC)",6
1002772-6375-SE26,"TAPA JERINGA ENFIT (CAJA)   ( 2 -  22) ID:1002772-61-LR25 (LC,NEONATOLOGIA,2204005003,APG)",6
1002772-6381-AG26,"MATER ORFIT PLANCHA TERMOPLASTICO ECO MINI PERFORADO RIGIDO 3,2 MM 60X90CM,ID 1002772-1333-COT26,(AG,MEDICINA FISICA Y REHABIBILITACION,2204005003,MMC)",6
1002772-6390-AG26,"CONJUNTO EXHALATORIO DE AVEA DESECHABLE,ID:1002772-1285-COT26,(AG,UPC PED.2204005003,APG)",6
1002772-6399-AG26,"CEPILLO DE CITOLOGIA 2MM DIAMETRO PARA CANAL DE TRABAJO 2.0 MM,ID:1002772-1306-COT26,(AG,PROCEDIMIENTO,2204005003,APG)",6
1003473-2063-AG26,PROG. PEDIATRIA MAYO 2026 compra ágil: 1003473-1686-COT26,4
1003473-2250-SE26,PROG. CURACION MAYO 2026 (1003473-99-LQ23),4
1003473-2284-SE26,PROG. LABORATORIO MAYO 2026 (1003473-82-LE25),4
1003473-2443-AG26,PROG. LABORATORIO MAYO 2026 compra ágil: 1003473-2234-COT26,4
1003473-2444-AG26,PROG. LABORATORIO MAYO 2026 compra ágil: 1003473-2370-COT26,4
1003473-2469-AG26,PROG. LABORATORIO MAYO 2026 compra ágil: 1003473-2377-COT26,4
1003473-2519-AG26,PROG. LABORATORIO MAYO 2026 compra ágil: 1003473-2363-COT26,4
1003473-2532-AG26,PROG. NEONATOLOGIA MAYO 2026 compra ágil: 1003473-2444-COT26,4
1003473-2552-AG26,PROG. ONCOLOGIA MAYO 2026  compra ágil: 1003473-2132-COT26,4
1006-100-SE26,"Servicio de Mantenimiento, Reparaciones Especifica",4
1006-95-AG26,Orden de Compra generada por invitación a compra ágil: 1006-27-COT26,6
1023923-500-SE26,COMPRA SERVICIOS MEDICOS / SERVICIOS INTEGRALES YOLIFLEX SPA,6
1023923-516-SE26,COMPRA SERVICIOS / SERVICIOS MEDICOS LUIS ORLANDO BUSTAMANTE FLORES EIRL,6
1023923-524-SE26,COMPRA SERVICIOS / SERVICIOS INTEGRALES LUGO Y ROSAS SPA,6
1023923-540-SE26,COMPRA SERVICIOS MEDICOS / SERVICIOS MEDICOS INTEGRASALUD LIFE VITAL SPA,6
1028-154-SE26,ORDEN DE COMPRA DESDE 1028-20-LP26,4
1028-155-SE26,ORDEN DE COMPRA DESDE 1028-21-LP26,4
1028871-246-SE26,P02_SERVICIOS DE ALIMENTACIÓN_ABRIL 2026,12
1038-89-TD26,Orden de Compra generada por Trato Directo ID 1038-17-FTD26,12
1038-98-AG26,SERVICIOS ASEO Y LIMPIEZA OFICINAS DEPRIF Sire 698,4
1039-141-AG26,VMR SIRE 797 MATERIALES DE OFICINA DEF,6
1039-146-AG26,VMR SIRE 833 ART. DE OFICINA DEFA ,6
1049-757-AG26,OC 56473 - SERVICIO DE LOGÍSTICA PARA TRANSPORTE. RETIRO DE BASURA E INSUMOS MENORES - 2 MESES - VALPARAÍSO,12
1049-859-AG26,OC 56597 UTILES DE ASEO EDIFICO PUNTA ARENAS,12
1049-861-AG26,OC 56602 - GRABADORAS DIGITALES QUELLON,6
1049-878-AG26,OC 56618 GUANTES MUESTREO - PUNTA ARENAS,6
1057049-15098-SE26,JAC. PAC ID.1057049-163-LE24 INT. 1161/2024 PROGRAMA INSUMOS MAYO JUNIO 2026,6
1057049-15104-SE26,JAC. PAC ID.1057049-163-LE24 INT. 1161/2024 PROGRAMA INSUMOS MAYO JUNIO 2026,6
1057049-15113-SE26,JAC INT. 1017 RE 2034 DESDE 1057049-167-LP25 PROGRAMA INSUMOS MAYO JUNIO 2026.,6
1057049-15119-SE26,JAC INT. 959 RE 1878 DESDE 1057049-168-LP25 PAC INSUMOS 2026 MAYO JUNIO 2026,6
1057055-812-SE26,SHV RES 577 PAC MAYO 2026 SUMINISTRO DE CLOBAZAM 1057055-19-LP26,6
1057379-237-SE26,COMPRA DE VERDURA CONGELADA PARA ALIMENTACIÓN 18.05.2026 - HSAP,6
1057379-238-SE26,COMPRA DE CARNE PARA ALIMENTACIÓN 18-05-2026 - HSAP ,6
1057387-223-CC26,SUMINISTRO SISTEMAS ANALITICOS H COLLIPULLI (ABRIL),6
1057387-228-CC26,SUMINISTRO SISTEMAS ANALITICOS H COLLIPULLI  (MARZO),6
1057387-243-AG26,ADQUISICION DE BATERIAS PARA GRUPOS ELECTROGENOS HOSPITAL SAN AGUSTIN DE COLLIPULLI,9
1057402-44959-AG25,5076- CONTROL DE PLAGAS CASA TENIENTE SERRANO 0173,12
1057402-5014-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885790.(INS),4
1057402-5016-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885788.(INS),4
1057402-5017-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885786.(INS),4
1057402-5019-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885780.(INS),4
1057402-5022-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885778.(INS),4
1057402-5025-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885783.(INS),4
1057402-5026-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885785.(INS),4
1057402-5027-SE26,CORONARIA.REP.N°14.MAYO.RECETA.834701.(INS),4
1057402-5028-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885787.(INS),4
1057402-5029-SE26,CORONARIA.REP.N°14.MAYO.RECETA.885777.(INS),4
1057402-5034-SE26,CORONARIA.REP.N°4.MAYO.RECETA.885659.(INS),4
1057402-5040-SE26,CORONARIA.REP.N°4.MAYO.RECETA.806220.(INS),4
1057402-5190-SE26,C. AVANZADAS/MAYO/APOSITO ESPUMA (INS),6
1057402-5192-SE26,C. AVANZADAS/MAYO/GASA NO TEJIDA (INS),6
1057402-5199-CM26,TRASLADO PAC: D. AVEDAÑO CON ACOMPAÑANTE (IDA),12
1057402-5209-CM26,(5076) Ronda Teletón DRa. Aravena / 25 de mayo 2026,12
1057402-5210-CM26,TRASLADO PAC: A. VASQUEZ CON ACOMPAÑANTE (RETORNO),12
1057402-5216-CM26,(5076) Ronda Teletón Dr. A. Cubillos / 26/05/2026,12
1057402-5220-CM26,(5076) Ronda Teletón Retorno Dr. Cubillos ,12
1057402-5222-CM26,TRASLADO PAC: L. LOPEZ (RET),12
1057402-5223-SE26,PABELLON.MAYO.CVC.TRIO.(INS),4
1057402-5225-CM26,TRASLADO PAC: P. MARTINIC CON ACOMPAÑANTE (RET),12
1057402-5234-CM26,(5076) Ronda Teletón Dra. G. Vera ,12
1057402-5246-SE26,UPC/MAYO/FILTRO INSPIRATORIO R860 (iNS),6
1057402-5254-CM26,TRASLADO PAC: N. TRIVIÑO CON ACOMPAÑANTE (RET),12
1057402-5257-CM26,TRASLADO PAC: R. GALLARDO (IDA),12
1057402-5260-CM26,TRASLADO PAC: E. VERA (IDA),12
1057402-5267-CM26,TRASLADO PAC: C. BARRIENTOS (IDA),12
1057402-659-AG26,(5076) Servicio e Videourodinamia / M. Torres I.,12
1057415-2926-CM26,CM-DIESEL PARA AMBULANCIAS Y SAMU-REQ# 2203001-HFCN 47218-(ecm),6
1057417-11460-CM26,IC MCM CM IC PEDIDO MAYO-JUNIO-JULIO 2026,12
1057417-11784-TD26,Orden de Compra generada por Trato Directo ID 1057417-507-FTD25,6
1057417-11858-TD26,Orden de Compra generada por Trato Directo ID 1057417-66-FTD26,6
1057417-11859-TD26,Orden de Compra generada por Trato Directo ID 1057417-66-FTD26,6
1057417-11904-SE26,PRO MAP LP CX ENERO 2026 CERVICAL CENTRAL,6
1057417-11906-SE26,PRO MAP LP CX CERVICAL FEBRERO 2026 CENTRAL,6
1057417-11907-SE26,PRO MAP LP CX CERVICAL ABRIL 2026 CENTRAL,6
1057417-11908-TD26,Orden de Compra generada por Trato Directo ID 1057417-187-FTD25,6
1057417-11910-SE26,PRO MAP LP CX CERVICAL MARZO 2026 CENTRAL,6
1057417-12042-AG26,IC MCM AG IC SOLIC.ADQ.429144 HOSPITAL CAMPAÑA,6
1057417-12090-AG26,"G msp AG S.A. 428592, Compra de contenedores amarillos para Hospital de campaña",6
1057417-12109-AG26,"SG FVS AG NAP MANT SERVICIO DE MANTENCIÓN PREVENTIVA PARA EQUIPOS ECÓGRAFOS MARCA SONOSITE, SOL. N°424.194. (Orden de Compra generada por invitación a compra ágil: 1057417-1861-COT26)",6
1057417-12129-TD26,Orden de Compra generada por Trato Directo ID 1057417-74-FTD26,4
1057422-296-SE26,LIC-INSUMOS DENTALES-2204004005-HFCY63129-MVF,12
1057430-1178-AG26,Reposición Insumo Esterilización (Apósito gasa/algodón 13 X 23 CM),6
1057430-1299-SE26,Mantención Preventiva Caldera,6
1057431-1300-SE26,Perteneciente a licitacion 2157-171-LE25,12
1057431-1381-SE26,Perteneciente a licitacion 2157-127-LE25,12
1057431-1429-SE26,OC DESDE LIC 2157-7-LE25,12
1057431-1433-SE26,OC DESDE LIC 2157-142-LQ24,12
1057431-1438-SE26,OC DESDE LIC 2157-19-LE25,12
1057431-1443-SE26,ORDEN DE COMPRA DESDE 2157-77-LE25,6
1057431-1446-SE26,Perteneciente a licitacion 2157-23-LR26,12
1057434-451-AG26,"CEPILLOS DE DIENTE SUPER SUAVE DE NIÑO, PASTA DE DIENTE INFANTIL CVMF 2026.",12
1057434-463-AG26,"INSUMOS CLINICOS PROCEDIMIENTO CVMF, ABRIL 2026 a compra ágil: 1057434-195-COT26",12
1057434-512-AG26,"INSUMOS CLINICOS S.A.R CVMF, MAYO 2026 a compra ágil: 1057434-225-COT26",12
1057439-3233-AG26,Letreros de Trovicel a compra ágil: 1057439-2703-COT26,6
1057439-3293-SE26,Insumos Dentales,6
1057439-3317-AG26,INS-1030	CIRCUITO ANESTESIA ADULTO : 1057439-2928-COT26,4
1057439-3358-AG26,"INS-6288	""GENERADOR NASAL CPAP MINIFLOW "" : 1057439-2990-COT26",4
1057439-3360-AG26,INS-5215	INFUSORES ELASTOMERICOS 1.5 ML/HR. 7 DIAS : 1057439-2989-COT26,4
1057439-3362-AG26,"""MASCARA NEONATAL PARA CPAP MEDIUM "": 1057439-2955-COT26",4
1057439-3370-AG26,Orden de Compra generada por invitación a compra ágil: 1057439-2795-COT26,6
1057439-3376-AG26,ACC-0126	PLACA ELECTROBISTURI ADULTO: 1057439-2871-COT26,4
1057439-3379-AG26,INS-2787	MALLA PROLENE + POLIGLECAPRONE DE 30 * 30 CM.: 1057439-2959-COT26,4
1057439-3380-AG26,abarrotes varios mayo / 	1057439-3035-COT26,4
1057448-168-SE26,1057448-4-LP26 / SERVICIOS DE MUDANZA EDF Y PAO MARZO 2026 FR 2026-81-27,4
1057472-5014-SE26,INSUMOS CLINICOS  FEBRERO,12
1057472-6241-SE26,VASO DESECHABLE,12
1057472-6984-SE26,Insumos de Traumatología,12
1057472-8179-SE26,Compra de Insumos Clinicos,12
1057472-8196-SE26,Compra de Insumos Clinicos,12
1057472-8226-SE26,ORDEN DE COMPRA DESDE 1057472-112-LR23,12
1057472-8452-CM26,Orden de Compra: 1057472-8452-CM26,12
1057472-8459-SE26,ORDEN DE COMPRA DESDE 1057472-110-LQ25,12
1057472-8484-AG26,Orden de Compra generada por invitación a compra ágil: 1057472-186-COT26,12
1057472-8535-SE26,INSUMOS CLINICOS MAYO,12
1057472-8668-AG26,Orden de Compra generada por invitación a compra ágil: 1057472-196-COT26,12
1057474-102-SE26,ORDEN DE COMPRA DESDE 1057474-36-LQ25,6
1057480-1285-SE26,AMPOLLETAS,12
1057480-1324-SE26,PROVEEDORES INTEGRALES PRISA S A,12
1057480-1352-SE26,ECO PLÁSTICOS CHILE SPA,6
1057480-1385-SE26,ORDEN DE COMPRA DESDE 1057480-82-LE24,6
1057480-1386-SE26,ORDEN DE COMPRA DESDE 1057480-8-LQ25,6
1057480-1387-SE26,BARRON VIEYRA INTERNATIONAL SPA,4
1057489-6366-AG26,20 UNIDADES DE EXAMENES GEN NUDT  a compra ágil: 1057489-139-COT26,6
1057489-6369-SE26,MANTENCIÓN DE EQUIPO DE ESTERILIZACION CORRECTIVO 2026,6
1057489-6403-SE26,2002242453 PDS PLUS 2/0 C/A CT-1 ANTIBACT.(PDP339H,5
1057489-6420-SE26,2002410028 PORTAOBJETO BORDE ESMERILADO BLANCO 26X,4
1057494-1850-AG26, PAPEL CREPADO 75 X 75 3 G-AZUL 55 GR/M2 1057494-283-COT26,6
1057495-277-AG26,ADQUISICIÓN DE CATÉTER VENOSO PERIFÉRICO CON SISTEMA DE SEGURIDAD DE NUEVA GENERACIÓN INSYTE AUTOGUARD B CTROL 22 GA X 1 25 MM Y CATETER VENOSO PERIFERICO CON BIOSEGURIDAD 20G X 1 = 25 MM PARA HDLC. DESDE COT: 1057495-182-COT26,12
1057495-307-CM26,ADQUISICIÓN DE TAPA DE OBTURACIÓN ROJA  LUER LOCK MACHO-HEMBRA PARA EL HOSPITAL DR. LUCIO CÓRDOVA.,12
1057495-560-AG26,ADQUISICION DE PLACAS PARA MICROBIOLOGÍA PARA EL HOSPITAL DR. LUCIO CORDOVA DESDE COT: 1057495-301-COT26,6
1057495-584-SE26,ADQUISICIÓN DE PCR PATÓGENOS RESPIRATORIOS PARA EL HOSPITAL DR. LUCIO CÓRDOVA DESDE LICITACIÓN ID: 1057495-57-LP23 ,4
1057496-951-AG26,ADQUISICION DISPOSITIVO MORDILLO REUTILIZABLE DE ENDOSCOPIA (MB-142) 1057496-560-COT26,6
1057496-954-CM26,"Adquisición frutas y verduras, despacho martes y viernes ",6
1057496-969-SE26,SPE N° 567 ADQUISICION DISPOSITIVO Valvula Oxycalm,4
1057498-1098-AG26,OA ADAPTADOR O CONECTOR RECTO PLASTICO AC3 Orden de Compra generada por invitación a compra ágil: 1057498-529-COT26,12
1057498-1141-SE26,LPR AYUDAS TECNICAS LIC. 1057498-35-LQ25,12
1057498-1256-AG26, OA VENDA DE FIJACION ADHESIVA 10 CM X 10 MT Orden de Compra generada por invitación a compra ágil: 1057498-808-COT26,12
1057498-1457-TD26,Orden de Compra generada por Trato Directo ID 1057498-312-FTD26,12
1057498-1503-AG26,LN LABORATORIO 1057498-937-COT26,12
1057498-1755-AG26, OA COLCHÓN ANTI-ESCARAS ROHO Orden de Compra generada por invitación a compra ágil: 1057498-1175-COT26,12
1057498-1776-CM26,OA APOSITO TRANSPARENTE ADHESIVO 10 X 25 CM Orden de Compra: 1057498-1776-CM26,12
1057498-849-AG26,OA FILTRO PARA VENTILACIÓN MECÁNICA HEPA Orden de Compra generada por invitación a compra ágil: 1057498-534-COT26,12
1057501-5212-SE26,41-444 PROGRAMA MAYO/26,6
1057503-2431-AG26,Memo Nº247 (20.04.26) informática,6
1057503-2521-AG26,Compra ágil: 1057503-1337-COT26 (Mayo),6
1057503-2528-AG26,Compra ágil: 1057503-1356-COT26 (Mayo),6
1057503-2543-AG26,Compra ágil: 1057503-1361-COT26,6
