Codigo,Nombre,CodigoEstado,EstadoDescripcion,FechaProcesamiento
1002-160-SE26,"Servicio Desinsectacion, Sanitizacion Dependencias",6,Aceptada,2026-05-03 18:31:50
1006-88-SE26,Servicio De Obras Menores - D.V.Reg. De Magallanes,6,Aceptada,2026-05-03 18:31:50
1023923-404-SE26,Compra De Servicios Medicos / Juan Marcelo Herrera Y Carla Perez Limitada,6,Aceptada,2026-05-03 18:31:50
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,Aceptada,2026-05-03 18:31:50
1057431-1316-SE26,Orden De Compra Desde 2157-189-Lq24,6,Aceptada,2026-05-03 18:31:50
1057492-1627-SE26,Servicio De Profesionales Medicos De Especialidad Urologia (Intervenciones Quirurgicas),6,Aceptada,2026-05-03 18:31:50
1057492-1628-SE26,Servicio De Profesionales Medicos De Especialidad Urologia (Interconsultas),6,Aceptada,2026-05-03 18:31:50
1057496-843-AG26,Adquisición Artículos Aseo A Compra Ágil: 1057496-519-Cot26,6,Aceptada,2026-05-03 18:31:50
1057509-4919-CC26,Insumo Mes De Mayo( Convenio Ssñ-Bodegajop),6,Aceptada,2026-05-03 18:31:50
1057536-1269-SE26,Servicios De Administración Hospital Infantojuvenil,6,Aceptada,2026-05-03 18:31:50
1057551-140-SE26,Nsumos De Microbiologia Lic N°1057545-13-Lr25,12,Recepción Conforme,2026-05-03 18:31:50
1057551-201-AG26,Abarrotes Extras A Compra Ágil: 1057551-99-Cot26,6,Aceptada,2026-05-03 18:31:50
1057551-249-SE25,Insumos De Microbiologia Lic N°1057545-13-Lr25,12,Recepción Conforme,2026-05-03 18:31:50
1057551-592-SE25,Insumos De Microbiologia Lic N°1057545-13-Lr25,12,Recepción Conforme,2026-05-03 18:31:50
1057552-325-AG26,Orden De Compra Generada Por Invitación A Compra Ágil: 1057552-193-Cot26,6,Aceptada,2026-05-03 18:31:50
1058339-129-AG26,"Compra Juegos Estimulación Usuarios, Memo N°53/2026-Progra. Cuidados Domiciliarios",6,Aceptada,2026-05-03 18:31:50
1069417-412-AG26,Agua Desmineralizada Para Unidad Odontológica De Cesfam San Ramón Nonato Compra Ágil: 1069417-289-Cot26,6,Aceptada,2026-05-03 18:31:50
1078078-1216-CM26,"Sc 23976 - Kit Alimentacion 4X4 Sin Pouch - Comuna De Parral, Region Del Maule",6,Aceptada,2026-05-03 18:31:50
1079694-66-SE26,Suministro De Petróleo Para La Tenencia Carreteras Desde 1079694-4-Le26,12,Recepción Conforme,2026-05-03 18:31:50
1126922-428-AG26,Rbd 7977 General Pg02 Servicio De Transporte Para Los Alumnos Del Establecimiento Educacional,6,Aceptada,2026-05-03 18:31:50
1126922-471-AG26,Rbd 7977 General Pg02 Servicio De Transporte Para Los Alumnos Del Establecimiento Educacional,6,Aceptada,2026-05-03 18:31:50
1126922-477-AG26,Rbds 22293 Servicio De Transporte Escolar Para Alumnos De Establecimiento De La Comuna De Frutillar,6,Aceptada,2026-05-03 18:31:50
1142-83-AG26,"Adquisición Artículos De Aseo Via Compra Ágil: 1142-28-Cot26, Senama.",6,Aceptada,2026-05-03 18:31:50
1153624-55-SE26,Orden De Compra Desde 1153624-16-L124,6,Aceptada,2026-05-03 18:31:50
1173933-17-AG26,"Servicio De Diseño Y Producción De Caja Del Descubrimiento, Que Contenga Encapsulados En Resina Y Distintos Materiales Para El Desarrollo De Talleres Y Actividades Con Temática Artrópodos, En Dependencias Del Museo De Historia Natural De Valparaíso.",5,Recepción Conforme,2026-05-03 18:31:50
1208983-84-AG26,Adquisición Camas 1 Plaza Para Rf,6,Aceptada,2026-05-03 18:31:50
1213444-156-SE26,Servicio Reas Orden De Compra Desde 1213444-6-Lp26,6,Aceptada,2026-05-03 18:31:50
1216085-143-SE26,Informes Holter,6,Aceptada,2026-05-03 18:31:50
1233613-881-SE26,Suministro Insumos Computacionales- Marzo-Insuco,6,Aceptada,2026-05-03 18:31:50
1233613-908-AG26,Servicio De Amplificación E Iluminación Para Escuela Juan Williams,6,Aceptada,2026-05-03 18:31:50
