Codigo,Nombre,CodigoEstado
1000813-121-AG26,FI_ ADQUISICION DE MATERIALES PARA MANTENIMIENTO Y REPARACION PARA EL CASINO MILITAR DE OFICIALES DE LA BRIGADA  compra ágil: 1000813-140-COT26,4
1002-150-SE26,REPARCION CIRCUITO ELECTRICO RODILLO,6
1002588-13-CM26,Adquisición de resmas; SLEP Puerto Cordillera; Orden de Compra: 1002588-13-CM26,12
1002772-3105-SE26,"EQUIPO SUTURA DESECHABLE ID:1002772-101-LQ24 (LC,TRANSVERSAL,  2204005003, RRC)",12
1002772-4963-SE26,"PATO URINARIO DESECHABLE ID:1002772-79-LP24 (LC, TRANSV,2204005003,CBO) ",12
1002772-5437-SE26,"PRóTESIS EXPANSORA MAMARIA, DISTINTOS VOLúMENES, MEDIDAS Y PROYECCIóN ID: 1002 772-91-LQ24(LC, PATO.MAMARIA, 2204004006,MTM)",12
1002772-5509-SE26,"PROTESIS TOTAL DE CADERA LIC 1002772-20-LQ25 (LC,PABELLON,2204004004,CMG)",12
1002772-5531-SE26,"PROTESIS DE CADERA VÁSTAGO CÓNICO MONOBLOCK, VÁSTAGO DE PERFIL DISTAL REDUCIDO NO CEMENTADO MÁS COTILO OPCION DOBLE MOVILIDAD LIC.1002772-34-LQ25 (LC,PABELLON,2204004004,CMG)",12
1002772-5695-SE26,"TRANSDUCTOR DESECHABLE ID:	1002772-54-LQ24 (LC,TRANSV,2204005003,MTM)",12
1002772-5888-AG26,"TOMA PRESION DIGITAL OMRON O SU EQUIVALENTE ID 1002772-1053-COT26 (AG,CAL. VIDA, 2204005003,CBO) ",4
1002772-5937-AG26,"PINZA KELLY RECTA 14 CM (1-20)/PINZA MOSQUITO RECTA 12.5 CMS ID:1002772-1169-COT26 (AG,LABCLI,CLINFOREN,2204005003,MTM)",4
1002772-5942-AG26,"SABANILLA DE PARTO, APÓSITO ULTRA ABSORBENTE 75 X 91 CM TIPO MEDLINE O SU EQUIVALENTE TECNICO ID:1002772-1170-COT26 (AG,PARTOPABE,2204005003,MTM)",5
1002772-5962-AG26,"SET DE CISTOSTOMIA 16 FR CON TROCAR DESECHABLE,ID:1002772-1193-COT26;(AG,PROCEDIMIENTO,2204005003,APG)",6
1002772-5971-SE26,"TEST PARA DETERMINACIÓN PROTEÍNA C REACTIVA (EQUIPO QUIKREAD GO) ID: 1002772-76-LE24  (LC,Laboratorio Clinico,2204005002,RRC)",6
1003473-1155-SE26,PROG PABELLON 03/2026 KIT BY PASS DESDE 1003473-10,12
1003473-2045-AG26,PROG. PABELLON ABRIL 2026 compra ágil: 1003473-1886-COT26,12
1003473-2173-AG26,PROG: PABELLON: ABRIL 2026 a compra ágil: 1003473-1948-COT26,4
1005498-257-SE25,Contratación del Servicio Soporte de Plataforma Parchado Virtual para la CMF,12
1005498-26-SE26,Servicio Coffe Break Capacitación 2026,12
1007793-72-AG26,INSUMOS DE ELECTRICIDAD PARA EL CFT ESTATAL DE LA REGIÓN DE LOS LAGOS,4
1016414-27-AG26,MANTENCIÓN DE EXTINTORES  compra ágil: 1016414-13-COT26,12
1028-153-AG26,Orden de Compra generada por invitación a compra ágil: 1028-18-COT26,6
1028871-192-CM26,P02_JARDINES/ E.E_JUNJI/SEP _MATERIAL DE ASEO_MARZO 2026,12
1028897-300-SE26,"SP 281 Servicio de Mantención Preventiva Vehículos pertenecientes al SLEP Costa Araucanía, Gral (jg)",6
1028897-317-AG26,SP 74 Adquisición de alimentos P01/Resto/DRL,6
1037199-13-CM26,Orden de Compra: 1037199-13-CM26,6
1039-126-CM26,JACS SIRE N°844 Pedido Complementario Alimentos No Perecibles DPCIF-RM,5
1047296-68-TD26,Orden de Compra generada por Trato Directo ID 1047296-39-FTD26,6
1048-127-AG26,ADQ. MATERIALES DIDACTICOS MEMO N°487 DISCAPACIDAD ,12
1048-167-CM26,Adquisicion camioneta Kia para medio ambiente,4
1049-659-AG26,OC 56338 TABLAS ACRILICAS - PUQ,12
1049-758-AG26,OC 56476 - CUCHILLAS MICROTOMO R35 IQUIQUE,4
