Codigo           , Nombre                                                                                       , CodigoEstado, CodigoTipo, Tipo, TipoMoneda, TieneItems, PromedioCalificacion, CantidadEvaluacion, OrdenDescuentos, OrdenCargos, OrdenTotalNeto, OrdenPorcentajeIva, OrdenImpuestos, OrdenTotal, FechaCreacion          , FechaEnvio             , FechaAceptacion        , FechaCancelacion, FechaUltimaModificacion, CantidadItems, Producto                                       , Cantidad, PrecioNeto , ItemTotalCargos, ItemTotalDescuentos, ItemTotalImpuestos, ItemTotal
1057420-306-SE26 , CS- MANTENCION PREVENTIVA DE EQUIPOS DE AIRE ACONDICIONADO ITEM 22.06.001.001 HFCH51480 (ism),            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       495000.0,               19.0,        94050.0,   589050.0, 2026-04-20T17:06:28.197, 2026-04-30T17:15:55.757, 2026-05-01T00:38:09.1  ,                 , 2026-04-30T17:14:00    ,             1, Mano de obra temporal                          ,      9.0,  55000.0   ,             0.0,                 0.0,                0.0,  495000.0
1057489-6087-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,      1159677.0,               19.0,       220339.0,  1380016.0, 2026-04-29T15:34:54.357, 2026-04-29T15:36:57.633, 2026-05-01T00:39:20.233,                 , 2026-04-29T15:36:00    ,             1, Dispositivos de sujeción protésica o accesorios,      2.0, 579838.6555,             0.0,                 0.0,                0.0, 1159677.311
1057489-6088-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,      1253050.0,               19.0,       238080.0,  1491130.0, 2026-04-29T15:37:14.077, 2026-04-29T15:38:40.863, 2026-05-01T00:39:07.843,                 , 2026-04-29T15:38:00    ,             1, Dispositivos de sujeción protésica o accesorios,      2.0, 626525.2101,             0.0,                 0.0,                0.0, 1253050.4202
1057489-6089-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       652523.0,               19.0,       123979.0,   776502.0, 2026-04-29T15:38:57.437, 2026-04-29T15:40:44.087, 2026-05-01T00:38:52.247,                 , 2026-04-29T15:40:00    ,             1, Dispositivos de sujeción protésica o accesorios,      1.0, 652522.6891,             0.0,                 0.0,                0.0,  652522.6891
1057489-6090-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       673211.0,               19.0,       127910.0,   801121.0, 2026-04-29T16:13:20.147, 2026-04-29T16:15:53.303, 2026-05-01T00:38:41.143,                 , 2026-04-29T16:15:00    ,             1, Dispositivos de sujeción protésica o accesorios,      1.0, 673210.9244,             0.0,                 0.0,                0.0,  673210.9244
1057489-6091-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       683211.0,               19.0,       129810.0,   813021.0, 2026-04-29T16:16:12.82 , 2026-04-29T16:19:56.437, 2026-05-01T00:38:28.8  ,                 , 2026-04-29T16:17:00    ,             1, Dispositivos de sujeción protésica o accesorios,      1.0, 683210.9244,             0.0,                 0.0,                0.0,  683210.9244
1057489-6092-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       709829.0,               19.0,       134868.0,   844697.0, 2026-04-29T16:20:18.503, 2026-04-29T16:21:52.537, 2026-05-01T00:38:17.36 ,                 , 2026-04-29T16:21:00    ,             1, Dispositivos de sujeción protésica o accesorios,      1.0, 709829.4118,             0.0,                 0.0,                0.0,  709829.4118
1057489-6093-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,       713899.0,               19.0,       135641.0,   849540.0, 2026-04-29T16:22:10.61 , 2026-04-29T16:23:47.79 , 2026-05-01T00:38:03.813,                 , 2026-04-29T16:23:00    ,             1, Dispositivos de sujeción protésica o accesorios,      1.0, 713899.1597,             0.0,                 0.0,                0.0,  713899.1597
1057489-6094-SE26, CONSIGNACION SET DE PLACAS DE CLAVICULA MARZO 2026                                           ,            6,          8, SE  , CLP       ,          1,                  0.0,                  0,             0.0,         0.0,      1439793.0,               19.0,       273561.0,  1713354.0, 2026-04-29T16:24:05.993, 2026-04-29T16:26:12.72 , 2026-05-01T00:37:27.343,                 , 2026-04-29T16:25:00    ,             1, Dispositivos de sujeción protésica o accesorios,      2.0, 719896.6387,             0.0,                 0.0,                0.0, 1439793.2774
1058097-471-SE26 , BEVACIZUMAB ABRIL CX_28-29                                                                   ,           12,          8, SE  , CLP       ,          1,                  5.0,                  1,             0.0,         0.0,       264000.0,               19.0,        50160.0,   314160.0, 2026-04-16T15:26:19.407, 2026-04-16T15:52:20.277, 2026-04-23T11:54:38.857,                 , 2026-04-16T15:39:00    ,             1, Recetarios magistrales                         ,     12.0,  22000.0   ,             0.0,                 0.0,                0.0,  264000.0
