Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,500.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,450.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,550.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,790.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,450.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,500.0,0.0,0.0,0.0,0.0
1000813-172-AG26,LP_ADQUISICIÓN DE PARCHES PARA EL PERSONAL DE SLCs DE LA 4TA BRIACO - COMPRA ÁGIL: 1000813-158-COT26,6,13,AG,CLP,1,5.0,1,0.0,0.0,768260.0,19.0,145969.0,914229.0,2026-05-15T09:26:12.983,2026-05-18T11:09:32.427,2026-05-19T00:10:20.613,,2026-05-18T08:07:00,7,Banderas o accesorios,214.0,350.0,0.0,0.0,0.0,0.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,FILETE DE POLLO CONGELADO MARINADO BOLSA 1K UNIDAD XII REGIÓN,800.0,7194.0,0.0,0.0,0.0,5755200.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,MANZANA FUJI LAVADA MEDIANA KILO APROX. XII REGIÓN,800.0,2430.0,0.0,0.0,0.0,1944000.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,NARANJA CON RS VALENCIA GRANEL GRANDE KILO APROX. UNIDAD XII REGIÓN,800.0,1386.0,0.0,0.0,0.0,1108800.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,"JAMON CERDO PF SANDWICH PIEZA 3,2 K UNIDAD XII REGIÓN",22.0,22039.0,0.0,0.0,0.0,484858.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,LONGANIZA WINTER CERDO PAQUETE 1 K UNIDAD XII REGIÓN,150.0,5846.0,0.0,0.0,0.0,876900.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,PULPA CERDO CONGELADA SIN MARINAR BOLSA 1 K UNIDAD XII REGIÓN,800.0,4086.0,0.0,0.0,0.0,3268800.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,SALCHICHA SAN JORGE TRADICIONAL DISPLAY 1 K UNIDAD XII REGIÓN,150.0,5876.0,0.0,0.0,0.0,881400.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,SALSA DE TOMATE CAROZZI BOLSA 1 K UNIDAD XII REGIÓN,150.0,3974.0,0.0,0.0,0.0,596100.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,CEBOLLA FRESCA CON RS AMARILLA GRANEL 1 K APROX. UNIDAD XII REGIÓN,440.0,1050.0,0.0,0.0,0.0,462000.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,JUGO LIQUIDO LIVEAN SABOR PIÑA 200 CC SIXPACK UNIDAD XII REGIÓN,350.0,1946.0,0.0,0.0,0.0,681100.0
1000813-86-CM26,"LP_ADQ, DE VIVERES PARA EL RANCHO DE TROPAS DE 4TA. BRIACO - Orden de Compra: 1000813-86-CM26",12,9,CM,CLP,1,0.0,0,0.0,0.0,16780658.0,19.0,0.0,16780658.0,2026-04-07T10:24:19.02,2026-04-07T11:02:13.117,2026-04-07T19:04:59.677,,2026-05-19T09:29:00,11,ZAPALLO FRESCO CON RS CAMOTE GRANEL KILO APROX.UNIDAD XII REGIÓN,500.0,1443.0,0.0,0.0,0.0,721500.0
1002584-162-AG26,Silla ergonomica: 1002584-43-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,64450.0,19.0,12246.0,76696.0,2026-05-18T15:32:56.983,2026-05-18T15:39:20.45,2026-05-19T08:21:52.453,,2026-05-18T15:37:00,1,Sillas para trabajar,1.0,64450.0,0.0,0.0,0.0,0.0
