Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,TieneItems,PromedioCalificacion,CantidadEvaluacion,OrdenDescuentos,OrdenCargos,OrdenTotalNeto,OrdenPorcentajeIva,OrdenImpuestos,OrdenTotal,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,ItemTotalCargos,ItemTotalDescuentos,ItemTotalImpuestos,ItemTotal
1002-160-SE26,"SERVICIO DESINSECTACION, SANITIZACION DEPENDENCIAS",6,8,SE,CLP,1,0.0,0,0.0,0.0,1173000.0,19.0,222870.0,1395870.0,2026-04-28T10:37:29.277,2026-04-29T10:00:32.593,2026-05-03T01:53:51.803,,2026-04-29T09:59:00,1,Servicios de saneamiento de aseos,17.0,69000.0,0.0,0.0,0.0,1173000.0
1006-88-SE26,Servicio de Obras Menores - D.V.Reg. de Magallanes,6,8,SE,CLP,1,0.0,0,0.0,0.0,2712000.0,19.0,515280.0,3227280.0,2026-04-28T08:17:00.433,2026-04-30T10:12:36.987,2026-05-03T11:29:00.023,,2026-04-30T10:12:00,1,Instalación o reparación de paredes,1.0,2712000.0,0.0,0.0,0.0,2712000.0
1023923-404-SE26,COMPRA DE SERVICIOS MEDICOS / JUAN MARCELO HERRERA Y CARLA PEREZ LIMITADA,6,8,SE,CLP,1,0.0,0,0.0,0.0,1632000.0,0.0,0.0,1632000.0,2026-04-14T15:39:01.957,2026-04-16T17:20:17.57,2026-05-03T18:16:29.1,,2026-04-14T15:42:00,1,Personal médico temporal,48.0,34000.0,0.0,0.0,0.0,1632000.0
1057384-353-AG26,Orden de Compra generada por invitación a compra ágil: 1057384-37-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,828000.0,19.0,157320.0,985320.0,2026-04-29T13:45:04.633,2026-04-29T14:06:47.713,2026-05-03T18:41:04.917,,2026-04-29T13:54:00,1,Cepillos o esponjas o estregadera de baño para personas con discapacidad física,7200.0,115.0,0.0,0.0,0.0,0.0
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,9,CM,CLP,1,5.0,1,0.0,0.0,912764.0,19.0,0.0,912764.0,2026-04-25T11:24:58.653,2026-04-28T09:25:10.6,2026-05-03T14:47:56.713,,2026-04-25T11:32:00,5,ARROZ TUCAPEL GRADO 1 BOLSA 1 K UNIDAD VIII REGIÓN,300.0,1396.0,0.0,0.0,0.0,418800.0
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,9,CM,CLP,1,5.0,1,0.0,0.0,912764.0,19.0,0.0,912764.0,2026-04-25T11:24:58.653,2026-04-28T09:25:10.6,2026-05-03T14:47:56.713,,2026-04-25T11:32:00,5,JUGO DE LIMON TRAVERSO SUCEDANEO BOTELLA 1 L UNIDAD VIII REGIÓN,80.0,1752.0,0.0,0.0,0.0,140160.0
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,9,CM,CLP,1,5.0,1,0.0,0.0,912764.0,19.0,0.0,912764.0,2026-04-25T11:24:58.653,2026-04-28T09:25:10.6,2026-05-03T14:47:56.713,,2026-04-25T11:32:00,5,AVENA SELECTA INSTANTANEA CAJA 800 G UNIDAD VIII REGIÓN,60.0,2413.0,0.0,0.0,0.0,144780.0
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,9,CM,CLP,1,5.0,1,0.0,0.0,912764.0,19.0,0.0,912764.0,2026-04-25T11:24:58.653,2026-04-28T09:25:10.6,2026-05-03T14:47:56.713,,2026-04-25T11:32:00,5,SAL FINA BOLSA 1 K UNIDAD VIII REGIÓN,50.0,448.0,0.0,0.0,0.0,22400.0
1057430-1127-CM26,Pedido Abarrotes Abril (Pacientes),6,9,CM,CLP,1,5.0,1,0.0,0.0,912764.0,19.0,0.0,912764.0,2026-04-25T11:24:58.653,2026-04-28T09:25:10.6,2026-05-03T14:47:56.713,,2026-04-25T11:32:00,5,SPAGHETTI CAROZZI N° 5 BOLSA 1K UNIDAD VIII REGIÓN,96.0,1944.0,0.0,0.0,0.0,186624.0
1057431-1316-SE26,ORDEN DE COMPRA DESDE 2157-189-LQ24,6,8,SE,CLP,1,0.0,0,0.0,0.0,5916583.0,19.0,1124151.0,7040734.0,2026-04-24T16:12:38.143,2026-04-28T17:01:01.697,2026-05-03T09:20:32.913,,2026-04-24T16:15:00,1,"Supervisión de instalación, ajuste o mantenimiento",1.0,5916583.0,0.0,0.0,0.0,5916583.0
1057492-1627-SE26,SERVICIO DE PROFESIONALES MEDICOS DE ESPECIALIDAD UROLOGIA  (INTERVENCIONES QUIRURGICAS),6,8,SE,CLP,1,0.0,0,0.0,0.0,11307761.0,0.0,0.0,11307761.0,2026-04-28T13:22:50.88,2026-04-28T16:13:22.347,2026-05-03T11:35:19.84,,2026-04-28T15:09:00,1,Servicios médicos de emergencia,1.0,11307761.0,0.0,0.0,0.0,11307761.0
1057492-1628-SE26,SERVICIO DE PROFESIONALES MEDICOS DE ESPECIALIDAD UROLOGIA (INTERCONSULTAS),6,8,SE,CLP,1,0.0,0,0.0,0.0,450000.0,0.0,0.0,450000.0,2026-04-28T13:52:49.92,2026-04-28T16:25:09.117,2026-05-03T11:35:07.037,,2026-04-28T15:06:00,1,Servicios médicos de emergencia,1.0,450000.0,0.0,0.0,0.0,450000.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Cortinas,6.0,10330.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Solventes aromáticos,15.0,3485.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Siliconas,12.0,3490.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Sets de vehículos,15.0,2556.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Guantes o manoplas,8.0,1680.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Desodorantes,31.0,295.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Shampoo,15.0,1260.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Shampoo,2.0,1260.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Cremas de manos,3.0,4150.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Guantes o manoplas,6.0,450.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Alfombras de algodón,3.0,5160.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Atomizadores,23.0,890.0,0.0,0.0,0.0,0.0
1057496-843-AG26,Adquisición artículos aseo a compra ágil: 1057496-519-COT26,6,13,AG,CLP,1,0.0,0,0.0,0.0,347705.0,19.0,66064.0,413769.0,2026-04-27T11:56:08.517,2026-04-28T15:10:14.117,2026-05-03T18:13:56.41,,2026-04-28T15:08:00,13,Pañales para adultos,15.0,3875.0,0.0,0.0,0.0,0.0
