Codigo,Nombre,CodigoEstado,CodigoTipo,Tipo,TipoMoneda,FechaCreacion,FechaEnvio,FechaAceptacion,FechaCancelacion,FechaUltimaModificacion,CantidadItems,Producto,Cantidad,PrecioNeto,TotalCargos,TotalDescuentos,TotalImpuestos,Total
1000-5-AG26,Orden de Compra generada por invitación a compra ágil: 1000-3-COT26,6,13,AG,CLP,2026-04-28T16:19:35.287,2026-04-29T10:36:36.107,2026-04-29T14:09:06.8,,2026-04-29T10:36:00,1,Escarificadores,120.0,6650.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Papel higiénico,14.0,2790.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Toallas de papel,18.0,4261.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Limpiadores de uso general,20.0,2973.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Limpiadores de uso general,100.0,1439.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Esponjas,30.0,314.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Desinfectantes domésticos,16.0,1012.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Desinfectantes domésticos,24.0,1657.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Guantes quirúrgicos,5.0,4310.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Guantes quirúrgicos,5.0,4310.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Bolsas de basura,100.0,3519.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Desinfectantes domésticos,60.0,891.0,0.0,0.0,0.0,0.0
1000813-118-AG26,FI_ADQ. DE UTILES DE ASEO PARA EL CASINO MILITAR CENTRALIZADO DEL CTEL. GENERAL V DE -Orden de Compra generada por invitación a compra ágil: 1000813-106-COT26,12,13,AG,CLP,2026-04-20T13:07:45.77,2026-04-21T11:07:52.707,2026-04-22T17:54:28.693,,2026-04-29T13:25:00,13,Desinfectantes domésticos,48.0,1052.0,0.0,0.0,0.0,0.0
