Codigo,Nombre,CodigoEstado,EstadoDescripcion,TipoMoneda,OrdenTotalNeto,OrdenTotal,Producto,Cantidad,PrecioNeto,ItemTotal,FechaCreacion,FechaProcesamiento
1000813-144-AG26,"Lp_Adquisicion De Otros Matateriales De Uso Y Consumo Para Ser Usado En La Manipulacion De Alimentos Del Rancho Tropa De Los Slcs De La 4Ta. Briaco ""Chorrillos"" Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-142-Cot26.",6,Aceptada,CLP,332356.0,395504.0,Mascarillas de aislamiento o quirófano para el personal sanitario,100.0,874.0,0.0,2026-04-29T08:07:51.65,2026-05-13 13:13:47
1000813-144-AG26,"Lp_Adquisicion De Otros Matateriales De Uso Y Consumo Para Ser Usado En La Manipulacion De Alimentos Del Rancho Tropa De Los Slcs De La 4Ta. Briaco ""Chorrillos"" Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-142-Cot26.",6,Aceptada,CLP,332356.0,395504.0,Guantes quirúrgicos,50.0,2334.0,0.0,2026-04-29T08:07:51.65,2026-05-13 13:13:47
1000813-144-AG26,"Lp_Adquisicion De Otros Matateriales De Uso Y Consumo Para Ser Usado En La Manipulacion De Alimentos Del Rancho Tropa De Los Slcs De La 4Ta. Briaco ""Chorrillos"" Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-142-Cot26.",6,Aceptada,CLP,332356.0,395504.0,"Trajes, cascos o mascarillas de aislamiento quirúrgico o accesorios",50.0,1368.0,0.0,2026-04-29T08:07:51.65,2026-05-13 13:13:47
1000813-144-AG26,"Lp_Adquisicion De Otros Matateriales De Uso Y Consumo Para Ser Usado En La Manipulacion De Alimentos Del Rancho Tropa De Los Slcs De La 4Ta. Briaco ""Chorrillos"" Orden De Compra Generada Por Invitación A Compra Ágil: 1000813-142-Cot26.",6,Aceptada,CLP,332356.0,395504.0,"Trajes, cascos o mascarillas de aislamiento quirúrgico o accesorios",16.0,3741.0,0.0,2026-04-29T08:07:51.65,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Paños de gamuza o guantes lavables,100.0,1017.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Detergentes surfactantes,80.0,2443.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Cloro Cl,80.0,932.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Cloro Cl,80.0,1320.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Cloro Cl,100.0,924.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
1000813-145-AG26,"Lp_Adquisicion De Materiales Y Utiles De Aseo Para Ser Usado En Las Cuadras, Rancho Tropa Y Lavanderia De Los Slcs De La 4Ta. Briaco ""Chorrillos"". Orden De Compra Generada Por Invitación A Compra Águil:1000813-144-Cot26.",6,Aceptada,CLP,1212660.0,1443065.0,Cepillos para aseos,40.0,1632.0,0.0,2026-04-29T08:35:13.38,2026-05-13 13:13:47
